invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,category_code,category_name,,month
INV-31841200015,11/11/2020,5001,THE MUSIC STATION / INDEPENDENCE,709 FIRST ST W,INDEPENDENCE,50644,POINT(-91.901687 42.468633),10,BUCHANAN,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,112020
INV-31726100007,6/11/2020,5439,MT. PLEASANT FAST BREAK,201 E. WASHINGTON ST.,MOUNT PLEASANT,52641,POINT(-91.551598 40.965272),44,HENRY,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,112020
INV-32168200015,23/11/2020,4412,KUM & GO #267 / TIPTON,2050 IA HIGHWAY 38,TIPTON,52772,POINT(-91.115934 41.647175),16,CEDAR,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01,1012100,CANADIAN WHISKIES,,112020
INV-31679400278,4/11/2020,2629,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POINT(-95.825137 41.242732),78,POTTAWATTAMIE,380,PHILLIPS BEVERAGE,14518,REVEL STOKE PEANUT BUTTER WHISKY MINI,12,50,4.6,6.9,1,6.9,0.05,0.01,1012100,CANADIAN WHISKIES,,112020
INV-54631600026,4/01/2023,5856,STATION MART #1 - EVANSDALE,3594 LAFAYETTE ROAD,EVANSDALE,50707,POINT(-92.28798 42.47721),,BLACK HAWK,260,DIAGEO AMERICAS,10788,CROWN ROYAL VANILLA MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,12023
INV-54788900002,9/01/2023,6072,PEARL CITY TOBACCO & LIQUOR OUTLET / MUSCATINE,200 GREEN ST,MUSCATINE,52761,POINT(-91.05788 41.41386),,MUSCATINE,260,DIAGEO AMERICAS,10788,CROWN ROYAL VANILLA MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,12023
INV-55180400019,23/01/2023,6240,RACEWAY 80 / NEWTON,4300 SOUTH 22ND AVENUE EAST,NEWTON,50208,POINT(-93.00055 41.67966),,JASPER,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,12023
INV-55345000042,27/01/2023,4857,WESTLAND FAST BREAK,1108 W AGENCY RD,WEST BURLINGTON,52655,POINT(-91.16951 40.81182),,DES MOINES,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,12023
INV-55299800011,26/01/2023,2691,HY-VEE FAST & FRESH - DES MOINES,5801 HICKMAN ROAD,URBANDALE,50322,POINT(-93.69815 41.61488),,POLK,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,12023
INV-54969000022,16/01/2023,5888,BIG 10 MART #62 / BETTENDORF,999 MIDDLE RD,BETTENDORF,52722,POINT(-90.51892 41.54003),,SCOTT,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.5,12.75,1,12.75,0.05,0.01,1012100,CANADIAN WHISKIES,,12023
RINV-05049700045,22/12/2023,3626,WAL-MART 2714 / SPENCER,500  11TH ST,SPENCER,51301,POINT(-95.152458015 43.125130009),,CLAY,259,HEAVEN HILL BRANDS,11788,BLACK VELVET,6,1750,11,16.5,-6,-99,-10.5,-2.77,1012100,CANADIAN WHISKIES,,122023
RINV-05003500088,6/12/2023,4877,WORLD LIQUOR & TOBACCO,1775 NW 86TH ST,CLIVE,50325,POINT(-93.735817975 41.607908011),,POLK,260,DIAGEO AMERICAS,10828,CROWN ROYAL NORTHERN HARVEST RYE,12,750,17.49,26.24,-1,-26.24,-0.75,-0.19,1012100,CANADIAN WHISKIES,,122023
INV-65281600002,14/12/2023,2679,HY-VEE FAST & FRESH/ALTOONA,3950 PRARIE FIRE NW,ALTOONA,50009,POINT(-93.509255971 41.651297981),,POLK,260,DIAGEO AMERICAS,10788,CROWN ROYAL VANILLA MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,122023
INV-65530500004,21/12/2023,5314,TOBACCO HUT & LIQUOR,3134 MANAWA CENTER DR. # 9,COUNCIL BLUFFS,51501,POINT(-95.848022958 41.228713981),,POTTAWATTAMIE,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,122023
INV-65545900006,21/12/2023,5685,FAREWAY STORES #190 / CEDAR FALLS,4500 S MAIN ST,CEDAR FALLS,50613,POINT(-92.445026009 42.497803021),,BLACK HAWK,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,122023
INV-64940800004,6/12/2023,5510,KUM & GO #1443 / WILLIAMSBURG,2177 M AVE,WILLIAMSBURG,52361,POINT(-92.066850966 41.690911987),,IOWA,260,DIAGEO AMERICAS,11290,CROWN ROYAL MINI,10,50,9.95,14.93,1,14.93,0.05,0.01,1012100,CANADIAN WHISKIES,,122023
INV-64969700014,6/12/2023,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT(-91.659756597 42.011473515),,LINN,259,HEAVEN HILL BRANDS,11771,BLACK VELVET MINI,8,50,8.87,13.31,1,13.31,0.05,0.01,1012100,CANADIAN WHISKIES,,122023
INV-26846500010,27/04/2020,4533,CASEY'S GENERAL STORE #1985 / ST. ANSGAR,110 N HWY 218,ST ANSGAR,50472,POINT(-92.917588 43.378704),66,MITCHELL,260,DIAGEO AMERICAS,10803,CROWN ROYAL REGAL APPLE MINI,10,50,7.35,11.03,1,11.03,0.05,0.01,1012100,CANADIAN WHISKIES,,42020
